Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Custom field (Actual end),Custom field (Actual result),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Link),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Steps),Custom field (Test level),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
"SM - verify Login - check if the registration information is correct, then go to the login box, enter the correct email and password will pass your information",NC-60,10363,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 4:41 PM,04/Jan/23 4:49 PM,04/Jan/23 4:59 PM,,,0,Login,"check if the login email and password are valid, pass information to you",,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-61,,,,,,,,,,,,,,NC-59,,,pass your information A new customer,,,,,,,,NC-1,pass your information A new customer,,,,,,0|i00287:,,NC Sprint 1,,,,,,,,"1)nhập hết dl
2)nhấn đăng nhập",System,Pass,,,To Do
"SM - verify Login - check if the login email and password are valid, pass information to you",NC-59,10362,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 4:35 PM,04/Jan/23 4:49 PM,04/Jan/23 4:50 PM,,,0,Login,"check if the login email and password are valid, pass information to you",,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-60,,,,,,,,,,,,,,,,,pass information to you,,,,,,,,NC-1,pass information to you,,,,,,0|i0027z:,,NC Sprint 1,,,,,,,,"1)nhập hết dl
2)nhấn đăng nhập",System,Pass,,,To Do
"IP22 - If the user presses the search button after entering the keywork, the product will appear. If there is no product name in the key work message, there is no product",NC-58,10361,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 4:09 PM,04/Jan/23 4:38 PM,04/Jan/23 4:59 PM,,,0,Registration,Data test: ““,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 4:09 PM;628b1ae940b157006f720673;image-20230104-090954.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10266/image-20230104-090954.png,,As expected,,,,,,,,NC-2,"If the user presses the search button after entering the keywork, the product will appear. If there is no product name in the key work message, there is no product",,,,,,0|i0027r:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
"IP21 - If the user clicks the button to pay, there is no product in the cart if the product has not been selected",NC-57,10360,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 4:06 PM,04/Jan/23 4:40 PM,04/Jan/23 4:59 PM,,,0,Registration,Data test: ““,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 4:07 PM;628b1ae940b157006f720673;image-20230104-090710.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10264/image-20230104-090710.png,,As expected,,,,,,,,NC-2,"If the user clicks the button to pay, there is no product in the cart if the product has not been selected",,,,,,0|i0027j:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
"IP20 - If the user clicks on the cart button, he will go to the shopping cart page",NC-56,10359,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 4:02 PM,04/Jan/23 4:07 PM,04/Jan/23 4:59 PM,,,0,Registration,Data test: ““,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 4:03 PM;628b1ae940b157006f720673;image-20230104-090350.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10262/image-20230104-090350.png,,As expected,,,,,,,,NC-2,"If the user clicks on the cart button, he will go to the shopping cart page",,,,,,0|i0027b:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
"IP19 - If email already exists in the system, error message",NC-55,10358,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:50 PM,04/Jan/23 4:03 PM,04/Jan/23 4:59 PM,,,0,Registration,Data test: “duybrosadboy@gmail“,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:51 PM;628b1ae940b157006f720673;image-20230104-085101.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10260/image-20230104-085101.png,,As expected,,,,,,,,NC-2,"If email already exists in the system, error message",,,,,,0|i00273:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
"P30 - Verify Payment- After entering the correct information, the details will appear",NC-53,10356,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:47 PM,04/Jan/23 4:27 PM,04/Jan/23 4:27 PM,,,0,Payment,"After entering the correct information, the details will appear",,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-51,,,"After entering the correct information, the details will appear",,,,,,,,NC-6,"After entering the correct information, the details will appear",,,,,,0|i0026n:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
P29 - Verify Payment- Only valid discount code can be used,NC-52,10355,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:46 PM,04/Jan/23 4:26 PM,04/Jan/23 4:26 PM,,,0,Payment,Only valid discount code can be used,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-51,,,Only valid discount code can be used,,,,,,,,NC-6,Only valid discount code can be used,,,,,,0|i0026f:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
P28 - Verify Payment- Communes cannot be left blank,NC-51,10354,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:46 PM,04/Jan/23 4:26 PM,04/Jan/23 4:26 PM,,,0,Payment,Communes cannot be left blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-52,NC-53,,,,,,,,,,,,,NC-49,,,Communes cannot be left blank,,,,,,,,NC-6,Communes cannot be left blank,,,,,,0|i00267:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
P27 - Verify Payment- Districts cannot be left blank,NC-49,10352,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:45 PM,04/Jan/23 4:26 PM,04/Jan/23 4:26 PM,,,0,Payment,Districts cannot be left blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-51,,,,,,,,,,,,,,NC-46,,,Districts cannot be left blank,,,,,,,,NC-6,Districts cannot be left blank,,,,,,0|i0025r:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
